K10plus-PPN	Hebis-PPN	Umgelenkte Hebis-PPN 1	Umgelenkte Hebis-PPN 2
020301995	030496446		
020303076	111348544		
020305338	023978155		
020313268	048700894		
020323107	074557149		
020323255	032551223		
020323476	010479031		
020329210	074715399		
020329253	076505987		
020336640	045832765		
020337337	035734353		
020338368	034536140		
020355092	030664691		
020356528	022038655		
020358717	072902922		
02035908X	030651743		
020361645	074833979		
020363222	076545032		
020365276	459753924		
020366159	02480083X		
020366213	075953501		
020371756	177587679		
020374836	076651479		
020376812	459571699		
020382499	459941682		
020447663	074616846		
020504144	459745646		
020511663	040054411		
02051168X	031972233		
020528140	046517936		
020539789	019094914		
020557175	02926037X		
020573898	029717175		
02057620X	029961491		
020576560	132884836		
020596286	030490774		
020600968	079326528		
020605846	074790013		
020609957	030374723		
020611471	079670628		
020616384	034098275		
020616392	05701986X		
020619901	459756222		
020639074	017431336		
020639295	075082241		
020641389	000826936		
020641761	035328002		
020648901	073861111		
020658990	028914910		
020661088	459638564		
02066186X	055250963		
020662688	459797891		
020664877	024579009		
020671857	079667988		
020674619	010542329		
020706863	073402788		
020720610	056607350		
020731116	02377424X		
020739265	028261062		
020763557	105543233		
020766254	062685252		
020766580	025575309		
020769652	028853741		
020776179	180057766		
020788525	031425836		
020790872	050998749		
020798458	054153336		
020810849	052815706		
020831919	080453368		
020838174	02204874X		
020843534	459704311		
020853432	072612932		
020854676	076444244		
02088401X	080158056		
020885709	080554822		
02092240X	45992138X		
020922566	079759068		
020929587	459901028		
020933509	459706748		
020934157	459903330		
020948425	024992003		
020953100	081024428		
020957173	061080004		
02096269X	024372919		
020965664	459928546		
02097034X	074627449		
020993455	026812258		
02102457X	459703757		
021190372	076667448		
021193525	459884751		
021199655	459894102		
021212023	074696882		
021220492	052600424		
021233012	07462122X		
021237018	459901060		
021239614	006027628		
02124619X	127520104		
021297053	082368341		
02129884X	011569409		
021298874	060304650		
021317240	021237123		
021336970	001172514		
021372578	45974691X		
021374708	45963139X		
021374848	035197102		
021375046	104201347		
021393907	049950320		
021410208	119511355		
021419396	079689701		
021419485	08288711X		
021419590	459568515		
021427828	030490464		
021443467	010350853		
021443580	029981239		
021443947	074589911		
021447624	074769987		
021447764	026005514		
021447926	049513125		
021450838	074585533		
021455716	059164107		
021455783	030252784		
02145650X	048895490		
02146197X	049477048		
021469776	026551047		
02147012X	05101016X		
021478988	004640977		
021479143	076688259		
021480877	028524144		
021488169	009269142		
021491712	079298206		
021492026	076667081		
021495327	031345905		
021506612	023619031		
02150699X	076586812		
021515395	004674766		
021530491	051011018		
021545332	008797676		
021554862	030037085		
021576262	056114788		
021576599	026454343		
021576645	035651903		
021587698	074705482		
021590680	009575669		
021611610	035808853		
021627819	005804248		
021666083	076500187		
021681058	005905222		
021687692	035638273		
021714533	051710102		
021747520	023759933		
02176932X	00596136X		
021774307	010575375		
021776776	023764961		
021783349	459934104		
021788847	074769995		
021792380	008797935		
021796890	459681362		
021796955	459698389		
021797625	074820370		
021797692	029729912		
021800030	076569756		
021800049	079314686		
021809631	459898906		
021838046	030066352		
021843546	080692451		
021863652	074795058		
021864233	008303967		
021865418	079383769		
021880956	009295925		
021897409	124775462		
021899169	02667775X		
021900434	031308244		
02190877X	045855692		
021912742	081164599		
021912793	080871356		
021916209	024587885		
021917302	023239719		
021920060	331644983		
021929017	027037665		
021937915	05947145X		
021986339	043605036		
021991200	029041406		
021991588	081287267		
021993920	060860715		
021994471	081071310		
02200324X	029129613		
022007660	048916161		
022009175	029996163		
022014993	060374489		
022015914	03305679X		
022027599	007996772		
022030883	45991538X		
022032495	030527147		
022033858	127527591		
022033882	029376637		
022034749	028682548		
022034757	081701853		
022044140	02436021X		
022047182	075868741		
022055118	101708238		
022060200	052548538		
022062394	022315667		
02206463X	025289357		
02208102X	031848613		
022092099	054850363		
022115927	023424990		
022125345	018490360		
022129723	035078200		
022132473	459930818		
022133380	045995257		
02214465X	034364692		
022151613	05525666X		
022155279	056068670		
022159479	053860705		
022191941	034360352		
022201815	45967112X		
022205969	025012770		
02220895X	00798488X		
022211357	459637045		
022221964	018839010		
022229876	074645919		
022316655	029334888		
022322000	026811227		
022326294	459780093		
022334386	021207593		
022360247	018411924		
022369708	019333919		
022374418	020271530		
022377166	013954318		
022380191	020761457		
022388826	021415900		
022388850	020225156		
022389253	021518637		
022400249	074956132		
02241455X	033422915		
022422145	033422966		
022422218	033422028		
022423508	075926571		
022423524	459650920		
022426876	023300531		
02243707X	026005743		
02245196X	45986274X		
022459685	009505024		
022463143	000276901		
022465642	079419755		
022470271	048894214		
022502009	023388846		
022513590	047518510		
022521127	459852922		
02253461X	035660279		
022566945	011323264		
022585176	011536616		
022596593	011429259		
022598162	012043117		
022602046	055483119		
022606440	011429348		
022611304	011817976		
022613153	459721100		
022613536	011702974		
022619879	121549666		
022646833	01230834X		
022649271	012497827		
022662685	011343524		
022669523	011724404		
022673792	095499563		
022682759	013006576		
022696334	051528533		
022699619	008984549		
022699635	009260315		
022699651	028675606		
02269966X	009004181		
02270194X	011651717		
022703802	021678545		
022710876	014498553		
022719830	031967612		
022741216	035378522		
022741445	029340942		
022755160	01426871X		
022755373	112267912		
022755705	030907837		
022785094	013041169		
022798064	017406420		
022813365	030979951		
022817956	014899469		
022818057	017286492		
022824588	016800060		
022826807	017806186		
022842748	005627052		
022850074	005279615		
022853618	004636600		
022860223	004277252		
022864709	005805287		
022866310	005600731		
022870776	00487174X		
02288355X	005804272		
022899030	459738348		
02292308X	45990289X		
02293636X	031964346		
022948899	005600251		
022949526	004630092		
022949860	006959881		
022964231	006338690		
022966250	009238085		
022982485	010392122		
022982639	010271740		
022985158	004991664		
022986146	010980784		
023013117	011373350		
023020814	032498519		
023023864	011967668		
023026472	010825975		
023026774	012077666		
023027738	009135707		
023036710	031417566		
023037881	052900649		
023062126	033047006		
023065613	010739637		
023071230	02281096X		
023072008	019083092		
02307342X	285616498		
023073705	05532911X		
023078197	030031370		
023086165	208293736		
023090480	081686315		
023096381	013532618		
023109270	026576716		
023113707	011111089		
023116307	060771763		
023118156	009175504		
023118334	008411212		
023120924	045799539		
023127147	029235227		
023127325	031653650		
023127457	058767231		
023128860	050739328		
023132558	022064842		
023132760	031175740		
023134135	055751695		
023134453	080223249		
023135816	030434858		
023138149	009471898		
023141727	02376533X		
023142200	07984233X		
023142324	026762765		
023160632	054167892		
02316350X	05884466X		
023163569	079765440		
023166452	005967309		
023166576	02838217X		
023166800	030222389		
023169184	050115650		
023171561	030532876		
023172622	052224988		
023179473	01209434X		
023183667	079661637		
023185465	056509340		
023188464	079786758		
023190760	035085428		
02319135X	011745681		
023197153	45993340X		
023198443	048806072		
02319930X	05559865X		
023199962	080226671		
023200774	023759836		
023201681	028717317		
023201983	079903088		
023202211	033932069		
023204044	029988012		
023210346	030369916		
023211024	056588879		
023231033	080003702		
023231041	08004607X		
023231394	079670121		
023234806	063598760		
023237759	030928141		
023239247	035026278		
023245956	050958704		
023246421	079721753		
023247290	032404824		
023247584	01054237X		
023253665	079716814		
023259469	058799109		
023261579	079868703		
023262389	006344127		
023263865	026162172		
023263903	079575471		
023268999	028255895		
023270004	026446901		
023270195	051072599		
023270292	025562169		
023270322	030184665		
023271124	079997767		
023271221	032563841		
023273305	024656623		
023276185	07959803X		
023277165	075550261		
023277289	080223494		
023277513	079842429		
023279850	009957073		
023283653	031547176		
023284765	024165662		
02328675X	032752644		
023289228	043662897		
023290277	079964419		
023291613	079859771		
023295821	032909934		
02329616X	074463195		
023305185	024362689		
023306076	055554709		
023309571	025268716		
023310901	006584853		
023312068	035645067		
023312246	009328211		
023312378	060900164		
023315660	010739874		
023319445	033068488		
023319461	030322022		
023324120	079870384		
023325550	079777007		
023328150	079680224		
