k10plus-PPN	hebis-PPN	k10plus-EPN	hebis-EPN	206X
015713474	006690203	600448556X	1082824445	HEB1082824445
015719456	016858271	600414116X	1082862886	HEB1082862886
015719561	053640365	6004455822	1082804819	HEB1082804819
015721329	113082320	6004107050	1082838136	HEB1082838136
015729133	127306277	600412530X	1082839485	HEB1082839485
015730581	459639447	6004303100	108278902X	HEB108278902X
015731561	112094953	6004105430	1082803006	HEB1082803006
015732746	023376910	6004189480	1082803391	HEB1082803391
01573739X	022081682	6004181374	1082825980	HEB1082825980
01573739X	022081682	6004181382	1082825999	HEB1082825999
015762521	459757539	600456737X	1082926086	HEB1082926086
015771903	01733389X	6004142301	1082819433	HEB1082819433
015772675	004140885	6004243930	1082791075	HEB1082791075
015774902	004820320	6004420816	1082861804	HEB1082861804
015776433	004961188	6004431923	108277863X	HEB108277863X
015779262	031639208	6004218995	1082792780	HEB1082792780
015779653	004734513	6004414883	1082824585	HEB1082824585
015788121	004820622	6004420840	1082859834	HEB1082859834
015788636	005518059	6004460656	1082898880	HEB1082898880
015803082	004630610	6004410063	1082829269	HEB1082829269
015812413	004655494	6004411663	1082779296	HEB1082779296
015815390	09675222X	6004522694	1082840068	HEB1082840068
015819957	00531335X	6004455105	1082926558	HEB1082926558
015825825	022089446	6004181439	1083019090	HEB1083019090
015827216	00485375X	6004423025	1082859990	HEB1082859990
015832260	007314442	6004489646	1082827800	HEB1082827800
015832333	004630734	600441011X	1082898546	HEB1082898546
015844935	005494621	6004459135	1082803405	HEB1082803405
015851737	025394436	6004194859	1082642525	HEB1082642525
015856941	005353912	6004455555	1082712736	HEB1082712736
015857905	004836596	6004421103	1082782459	HEB1082782459
015857905	004836596	6004421111	1082782467	HEB1082782467
015857905	004836596	600442112X	1082782475	HEB1082782475
015857905	004836596	6004421138	1082782483	HEB1082782483
015876691	009173455	600451425X	1082887463	HEB1082887463
015894509	008960127	6004510092	1082852775	HEB1082852775
015899462	009511059	6004520055	1082849839	HEB1082849839
015901009	009536507	6004520640	1082821373	HEB1082821373
015901009	009536507	6004520659	1082821381	HEB1082821381
015901009	009536507	6004520667	108282139X	HEB108282139X
015901416	009194010	6004514527	1082788597	HEB1082788597
015901440	007890656	6004496332	1082799807	HEB1082799807
015901467	008959277	6004510041	1082887730	HEB1082887730
015903729	009194053	6004514535	1082831565	HEB1082831565
015903729	009194053	6004514543	1082831581	HEB1082831581
015906590	005994608	6004478741	108280696X	HEB108280696X
015913724	009117172	6004512974	108278172X	HEB108278172X
015914402	009922636	6004525359	1082797537	HEB1082797537
015923215	009542817	6004520772	1082854530	HEB1082854530
015923509	00594774X	6004476943	1082830267	HEB1082830267
015925145	007763921	6004496049	1082783617	HEB1082783617
015927288	007169892	6004487279	1082908797	HEB1082908797
015941213	007683340	6004495697	1082811211	HEB1082811211
015942082	007502222	6004492558	108280326X	HEB108280326X
015951855	008533245	6004509000	1082800333	HEB1082800333
015955192	00853392X	6004509027	1082658103	HEB1082658103
015955192	00853392X	6004509035	1082658111	HEB1082658111
015964515	010429506	6004092290	1082816507	HEB1082816507
015964515	010429506	6004092304	1082816515	HEB1082816515
015964566	010611126	6004095494	1082861650	HEB1082861650
01596874X	011285974	6004106704	1082812048	HEB1082812048
01596874X	011285974	6004106712	1082812056	HEB1082812056
015969126	011322322	6004107212	1083419218	HEB1083419218
015985210	011322942	6004107271	1082845000	HEB1082845000
015994139	003479676	6004230944	1082814547	HEB1082814547
016006747	012685801	6004125032	1082831980	HEB1082831980
016007468	019654928	6004161934	1082789038	HEB1082789038
016007468	019654928	6004161942	1082789046	HEB1082789046
016007468	019654928	6004161950	1082789054	HEB1082789054
016017404	012924318	6004128082	1082908045	HEB1082908045
01602026X	013080504	6004129577	1082822485	HEB1082822485
016028090	01313132X	6004129801	1082805947	HEB1082805947
016043448	459806602	6004318736	1082986623	HEB1082986623
016050711	110353528	6004102482	1083125664	HEB1083125664
016052366	012267384	600411829X	1082987336	HEB1082987336
016054466	459671499	6004309133	1082827371	HEB1082827371
016055276	016004086	6004139017	1082814369	HEB1082814369
016059662	012125644	6004116408	1082844101	HEB1082844101
016062817	014899175	6004138592	1082833835	HEB1082833835
016063554	01648309X	6004140171	1082914193	HEB1082914193
016063554	01648309X	600414018X	1137816996	HEB1137816996
016068696	45963299X	6004302562	1082781231	HEB1082781231
016068718	009471669	600451957X	1082786977	HEB1082786977
016071484	017701694	6004143812	1082806900	HEB1082806900
01607825X	017407044	6004142603	1082808725	HEB1082808725
01607825X	017407044	6004142611	1082808733	HEB1082808733
01608182X	019181965	600415847X	1082787647	HEB1082787647
016089014	019218249	6004158739	1082856681	HEB1082856681
016089014	019218249	6004158747	108285669X	HEB108285669X
01609445X	019333552	6004159573	108283355X	HEB108283355X
016098935	013934732	6004136255	1082782300	HEB1082782300
